"A.No.","A.spec","L.population","Dpi","length","weight","sex","A.l3","l3","l4","adult.m","adult.f","enc","egg","Pseudo 0-3","dis.date","tank","L2"
"AJ/T-3","AJ","T",55,43,105,"m",1,10,0,0,2,5,0,0,11/01/10,11,"AJ39, 29, 53, 3"
"AJ/T-4","AJ","T",55,47.3,185,"m",1,6,6,1,1,0,0,0,11/01/10,11,"AJ2"
"AJ/T-5","AJ","T",55,"na","na","m",1,0,0,0,2,0,0,0,11/01/10,11,"AJ48"
"AJ/T-6","AJ","T",55,44.5,110,"m",2,4,9,2,2,0,1,"na","13.01.10",7,"AJ48,5"
"AJ/T-7","AJ","T",55,50,155,"m",2,0,0,0,1,0,0,"na","13.01.10",7,"AJ5"
"AJ/T-8","AJ","T",55,41.5,110,"m",2,1,2,3,7,0,2,"na","13.01.10",7,"AJ5"
"AJ/T-9","AJ","T",55,46,110,"na",2,0,2,0,0,0,0,"na","13.01.10",7,"AJ5"
"AJ/T-10","AJ","T",55,45.5,110,"na",2,1,2,2,5,3,2,"na","13.01.10",7,"AJ5"
"AA/T-21","AA","T",56,45.4,155,"na",0,0,0,0,0,0,0,"na","15.01.10",9,"AJ27"
"AA/T-22","AA","T",56,39,80,"na",0,0,2,3,5,0,2,"na","15.01.10",9,"AJ27"
"AA/T-23","AA","T",56,38.5,85,"na",0,2,4,2,2,0,2,"na","15.01.10",9,"AJ27"
"AA/T-24","AA","T",56,43,100,"m",0,"na","na",4,2,0,2,"na","15.01.10",9,"AJ27"
"AA/T-25","AA","T",56,36.2,90,"na",0,"na","na",3,1,0,0,"na","15.01.10",9,"AJ27"
"AJ/T-11","AJ","T",53,37,90,"na",0,0,0,2,2,0,0,0,"27.01.10",1,"AJ26"
"AJ7T-12","AJ","T",55,38,55,"na",2,2,3,1,0,0,0,0,"27.01.10",1,"AJ26"
"AJ/T-13","AJ","T",55,44.8,110,"na",2,3,3,0,0,1,0,0,"27.01.10",1,"AJ26"
"AJ/T-14","AJ","T",55,44.2,115,"na",2,6,3,3,2,4,0,0,"27.01.10",1,"AJ26"
"AJ/T-15","AJ","T",55,38,60,"na",2,6,5,4,2,0,0,0,"27.01.10",1,"AJ26"
"AJ/T-16","AJ","T",55,41.5,90,"na",2,"na","na",0,0,0,0,0,"27.01.10",1,"AJ26"
"AJ/T-17","AJ","T",55,41.5,90,"na",2,8,0,0,0,0,0,0,"27.01.10",1,"AJ26"
"AJ/T-18","AJ","T",56,40,95,"na",2,2,5,6,13,1,0,1,"28.01.10",1,"AJ10"
"AJ/T-19","AJ","T",56,35.5,45,"na",2,3,14,14,10,2,2,1,"28.01.10",1,"AJ10"
"AJ/T-20","AJ","T",56,41,110,"m",2,2,5,11,9,3,2,1,"28.01.10",1,"AJ10"
"AJ/T-21","AJ","T",56,39,85,"m",2,3,3,12,8,1,2,1,"28.01.10",1,"AJ10"
"AJ/T-22","AJ","T",56,43,100,"na",2,0,0,0,0,0,0,1,"28.01.10",1,"AJ10"
"AJ/T-23","AJ","T",56,40.4,70,"m",2,0,5,5,6,0,0,1,"28.01.10",1,"AJ10"
"AJ/T-24","AJ","T",56,42,80,"na",2,0,1,1,2,0,1,1,"28.01.10",1,"AJ10"
"AJ/T-25","AJ","T",56,34,50,"na",2,1,6,11,13,0,1,1,"28.01.10",1,"AJ10"
"AJ/T-26","AJ","T",56,42,80,"na",2,3,6,0,2,0,0,1,"28.01.10",1,"AJ10"
"AJ/T-27","AJ","T",56,42,85,"na",2,3,6,6,10,1,0,1,"28.01.10",1,"AJ10"
"AJ/T-28","AJ","T",56,35,50,"m",2,4,10,7,10,6,0,1,"28.01.10",1,"AJ10"
"AJ/-T-29","AJ","T",56,34,32,"na",2,4,9,10,9,0,0,1,"28.01.10",1,"AJ10"
"AJ/-T-30","AJ","T",56,34,35,"na",2,6,3,6,6,4,0,1,"28.01.10",1,"AJ10"
"AA/R-1","AA","R",55,38,100,"na",2,1,0,8,5,0,0,0,01/02/10,"19.a","Aal212"
