"Pos","Name","Ct SYBR","Target SYBR"
"A1","UW12M",20.39,"60S"
"A2","UW12M",20.80,"60S"
"A3","UW12M",20.88,"60S"
"A7","UW15M",16.91,"60S"
"A8","UW15M",19.34,"60S"
"A9","UW15M",19.43,"60S"
"A10","AJT19W",25.07,"60S"
"A11","AJT19W",26.41,"60S"
"A12","AJT19W",23.82,"60S"
"B1","UW12M",28.62,"86qs"
"B2","UW12M",26.30,"86qs"
"B3","UW12M",25.82,"86qs"
"B10","AJT19W",32.08,"86qs"
"B11","AJT19W",30.06,"86qs"
"B12","AJT19W",30.25,"86qs"
"C2","UW12M",15.78,"3218qs"
"C3","UW12M",13.64,"3218qs"
"C10","AJT19W",33.68,"3218qs"
"C11","AJT19W",31.97,"3218qs"
"C12","AJT19W",30.77,"3218qs"
"D1","UW12M",22.43,"644qs"
"D2","UW12M",18.62,"644qs"
"D3","UW12M",18.14,"644qs"
"D10","AJT19W",29.87,"644qs"
"D11","AJT19W",27.84,"644qs"
"D12","AJT19W",26.54,"644qs"
"E2","UW12M",22.62,"76qs"
"E3","UW12M",20.98,"76qs"
"E8","UW15M",27.86,"76qs"
"E9","UW15M",27.44,"76qs"
"E11","AJT19W",33.02,"76qs"
"E12","AJT19W",32.74,"76qs"
